customer_id,full_name,email,phone,city,state,customer_tier,lifetime_value,record_ts,is_active
C0201,Henry Martin,henry.martin@hotmail.com,713-856-5279,Columbus,GA,BRONZE,5951.43,2024-07-29 23:51:33,true
C0220,Aaron Jackson,aaron.jackson@hotmail.com,333-200-7345,Savannah,GA,BRONZE,9025.51,2024-08-06 16:23:03,true
,Xander Harris,xander.harris@work.org,571-593-4232,Augusta,GA,BRONZE,2107.87,2023-04-15 09:36:17,true
C0261,Beth Johnson,beth.johnson@hotmail.com,678-448-6157,Tucson,AZ,BRONZE,384.13,2024-07-09 01:29:14,true
C0219,Iris Martin,iris.martin@gmail.com,685-990-2216,Cambridge,MA,SILVER,1111.95,2024-08-24 21:48:56,true
C0269,Tina Johnson,not-an-email,330-617-4052,Sacramento,CA,GOLD,9842.57,2023-04-26 05:31:26,false
C0007,Xander Davis,xander.davis@company.com,969-337-4382,Columbus,OH,PLATINUM,5857.12,2024-10-10 08:26:19,false
C0248,Rose Williams,rose.williams@gmail.com,581-246-8418,Reno,NV,BRONZE,9701.16,2024-08-21 06:18:51,false
C0006,Rose Miller,rose.miller@outlook.com,210-587-2075,Worcester,MA,PLATINUM,3420.61,2024-12-12 09:40:00,false
C0271,Yara Jones,@nodomain.com,844-859-8452,Raleigh,NC,PLATINUM,9129.58,2024-01-13 02:51:10,false
C0259,Uma Wilson,uma.wilson@yahoo.com,672-423-9122,Fort Collins,CO,BRONZE,7816.71,2024-07-14 20:30:57,false
C0212,Karen White,karen.white@gmail.com,500-620-7693,Portland,OR,SILVER,6383.52,2024-07-06 20:39:08,false
C0017,Diana Jackson,diana.jackson@work.org,748-639-3168,Dallas,TX,PLATINUM,1930.69,2024-11-04 15:07:24,false
C0211,Uma Anderson,uma.anderson@outlook.com,339-122-8093,Tucson,AZ,BRONZE,844.33,2024-08-28 01:26:31,false
C0020,Victor Wilson,victor.wilson@work.org,986-388-6306,Savannah,GA,PLATINUM,8416.08,2024-11-07 12:22:17,false
C0013,Mia Garcia,mia.garcia@company.com,982-650-5927,San Diego,CA,PLATINUM,7910.68,2024-10-18 23:31:18,true
C0018,Chris Taylor,chris.taylor@yahoo.com,314-747-4368,Cleveland,OH,PLATINUM,9242.54,2024-12-28 03:18:09,false
C0246,Liam Wilson,liam.wilson@company.com,582-302-8670,Springfield,MA,PLATINUM,2837.18,2024-08-25 12:16:57,false
C0226,Diana Jackson,diana.jackson@work.org,504-556-6516,Tacoma,WA,BRONZE,4659.06,2024-08-21 05:14:44,true
C0223,Noah Jackson,noah.jackson@hotmail.com,815-987-4334,Portland,OR,PLATINUM,4346.58,2024-09-09 07:43:04,false
C0206,Sam Garcia,sam.garcia@outlook.com,865-798-8460,Cincinnati,OH,PLATINUM,7542.71,2024-09-15 11:31:00,true
C0003,Karen Harris,karen.harris@hotmail.com,783-742-9294,Chicago,IL,PLATINUM,408.69,2024-11-21 16:10:20,false
C0225,Beth Jackson,beth.jackson@work.org,240-494-2096,Seattle,WA,SILVER,5839.33,2024-07-27 17:03:50,true
C0258,Xander Wilson,xander.wilson@work.org,309-137-1576,San Antonio,TX,SILVER,5785.9,2024-08-23 17:39:45,true
C0002,Yara Harris,yara.harris@work.org,311-992-8892,Austin,TX,PLATINUM,8190.57,2024-10-05 01:19:38,false
C0230,Liam Williams,liam.williams@company.com,517-759-2206,Rochester,NY,PLATINUM,3506.16,2024-08-25 03:26:46,false
C0272,Wendy Thomas,@nodomain.com,669-226-3661,Memphis,TN,SILVER,843.2,2023-12-09 19:31:04,true
C0014,Diana Brown,diana.brown@yahoo.com,374-959-9877,Rochester,NY,PLATINUM,7901.31,2024-12-29 19:55:05,false
C0012,Carol Davis,carol.davis@company.com,277-119-7544,Chattanooga,TN,PLATINUM,5188.65,2024-10-22 07:10:41,true
C0250,Diana Smith,diana.smith@outlook.com,587-368-5477,Naperville,IL,SILVER,4833.57,2024-07-25 00:08:42,true
C0005,Frank Wilson,frank.wilson@hotmail.com,585-132-1514,Phoenix,AZ,PLATINUM,9562.99,2024-12-08 01:31:23,true
C0236,Bob Smith,bob.smith@gmail.com,561-441-8629,Boston,MA,GOLD,3637.47,2024-08-05 00:19:11,false
C0267,Mia Smith,@nodomain.com,491-529-7572,Tucson,AZ,BRONZE,3902.32,2023-04-20 15:21:30,false
C0209,Yara Smith,yara.smith@work.org,442-392-8804,San Francisco,CA,BRONZE,1634.89,2024-08-14 21:20:32,true
C0228,Beth Johnson,beth.johnson@hotmail.com,765-217-9117,Austin,TX,GOLD,4342.54,2024-07-14 11:56:26,true
C0257,Frank Garcia,frank.garcia@hotmail.com,870-600-4025,Las Vegas,NV,PLATINUM,3140.05,2024-09-28 04:46:37,true
C0254,Uma Davis,uma.davis@work.org,551-167-7360,Fort Collins,CO,SILVER,9825.38,2024-08-22 15:00:11,true
C0019,Noah Davis,noah.davis@hotmail.com,542-843-5092,Orlando,FL,PLATINUM,475.56,2024-11-06 10:53:12,false
C0249,Yara Smith,yara.smith@outlook.com,632-150-6827,New York,NY,BRONZE,9246.63,2024-07-24 10:37:13,true
C0274,Carol Wilson,not-an-email,723-926-1382,Worcester,MA,SILVER,8660.11,2023-12-12 22:28:08,true
C0216,Frank White,frank.white@hotmail.com,571-570-2735,Reno,NV,BRONZE,1249.22,2024-08-21 05:38:41,false
C0215,Yara Smith,yara.smith@company.com,353-846-5862,Eugene,OR,PLATINUM,8941.29,2024-08-29 23:53:16,false
,Karen Miller,karen.miller@hotmail.com,202-894-8841,Jacksonville,FL,PLATINUM,138.02,2023-03-08 20:05:05,true
C0255,Aaron Johnson,aaron.johnson@yahoo.com,791-772-2169,Naperville,IL,BRONZE,1352.89,2024-08-26 07:32:40,false
C0213,Wendy Wilson,wendy.wilson@yahoo.com,737-962-7526,Chattanooga,TN,PLATINUM,7032.78,2024-08-08 02:50:46,false
C0237,Iris Taylor,iris.taylor@hotmail.com,558-508-4160,Worcester,MA,BRONZE,9124.38,2024-08-18 09:47:31,false
C0265,Paul Martin,paul.martin@company.com,698-832-6977,Tacoma,WA,BRONZE,5462.82,2024-08-26 21:53:30,true
C0234,Victor Wilson,victor.wilson@yahoo.com,336-568-8680,Raleigh,NC,BRONZE,2276.83,2024-07-05 21:49:14,false
C0242,Olivia Jackson,olivia.jackson@hotmail.com,628-467-1026,Phoenix,AZ,SILVER,6725.69,2024-09-21 22:44:29,true
C0275,Diana White,spaces in@email.com,303-296-9554,Orlando,FL,GOLD,7073.64,2023-12-02 10:42:35,true
C0217,Aaron Johnson,aaron.johnson@yahoo.com,315-438-5190,San Francisco,CA,PLATINUM,6053.66,2024-07-18 10:08:50,true
C0240,Frank Harris,frank.harris@company.com,430-869-9475,Knoxville,TN,PLATINUM,8988.32,2024-08-21 08:26:20,false
C0207,Sam Harris,sam.harris@hotmail.com,528-761-4209,Knoxville,TN,GOLD,3045.53,2024-07-23 12:15:12,false
C0202,Beth Garcia,beth.garcia@work.org,216-224-4564,Los Angeles,CA,SILVER,738.81,2024-09-22 01:31:58,true
C0001,Henry Martin,henry.martin@gmail.com,583-255-1564,Seattle,WA,PLATINUM,9273.05,2024-11-22 03:25:20,false
C0235,Grace Taylor,grace.taylor@outlook.com,381-356-5883,Seattle,WA,PLATINUM,9242.45,2024-09-23 20:41:01,false
C0244,Chris Brown,chris.brown@company.com,499-755-9155,Knoxville,TN,SILVER,7003.27,2024-07-24 02:07:00,true
C0210,Rose Wilson,rose.wilson@yahoo.com,443-490-7940,Charlotte,NC,BRONZE,2574.52,2024-08-10 14:24:09,false
C0004,Tina Wilson,tina.wilson@hotmail.com,508-332-4095,San Diego,CA,PLATINUM,4370.59,2024-10-29 21:32:00,true
C0008,Diana Martin,diana.martin@company.com,970-969-4095,Carson City,NV,PLATINUM,7930.49,2024-11-05 22:38:55,true
C0260,Noah Johnson,noah.johnson@outlook.com,751-265-9424,Memphis,TN,GOLD,6401.41,2024-09-17 04:10:44,false
C0227,Frank Brown,frank.brown@yahoo.com,535-695-5380,Aurora,IL,BRONZE,8841.87,2024-08-19 15:15:55,false
C0241,Paul Wilson,paul.wilson@outlook.com,769-245-2506,Houston,TX,SILVER,2148.14,2024-09-22 12:21:30,false
C0011,Mia Brown,mia.brown@yahoo.com,994-198-8929,Cambridge,MA,PLATINUM,8660.91,2024-11-07 01:51:45,true
C0243,Quinn Garcia,quinn.garcia@company.com,372-523-9841,Las Vegas,NV,GOLD,7779.85,2024-07-16 22:40:31,false
C0252,Tina Williams,tina.williams@gmail.com,896-683-8117,Mesa,AZ,GOLD,4608.1,2024-09-01 21:49:23,false
C0205,Karen Garcia,karen.garcia@company.com,591-453-4559,Portland,OR,BRONZE,4030.87,2024-08-26 01:20:46,false
,Karen Harris,karen.harris@hotmail.com,950-573-4825,Tacoma,WA,SILVER,692.87,2024-04-14 11:16:36,false
C0245,Grace Johnson,grace.johnson@company.com,964-711-4525,Savannah,GA,BRONZE,4957.85,2024-08-24 04:19:05,true
C0233,Frank Miller,frank.miller@work.org,224-882-4602,Salem,OR,SILVER,2387.42,2024-08-10 19:03:26,false
,Alice Johnson,alice.johnson@yahoo.com,744-364-4982,Eugene,OR,BRONZE,6073.55,2023-04-22 23:14:45,false
C0268,Xander Garcia,spaces in@email.com,381-541-4518,Nashville,TN,PLATINUM,7794.85,2024-03-23 06:32:39,false
C0263,Carol Jones,carol.jones@outlook.com,266-409-5003,Durham,NC,PLATINUM,6515.72,2024-09-01 23:39:52,false
C0270,Quinn White,double@@email.com,465-837-6552,Columbus,OH,BRONZE,736.75,2023-05-05 03:02:05,true
C0239,Wendy Williams,wendy.williams@company.com,719-903-6475,Naperville,IL,BRONZE,3462.56,2024-08-16 13:40:49,true
C0204,Xander Martin,xander.martin@company.com,532-504-9350,Chattanooga,TN,PLATINUM,3650.29,2024-09-26 16:20:17,false
,David Taylor,david.taylor@outlook.com,718-716-5301,Buffalo,NY,GOLD,3882.79,2023-12-20 11:41:53,false
C0231,Bob Brown,bob.brown@work.org,553-879-6193,San Francisco,CA,BRONZE,9515.59,2024-08-16 15:58:56,false
C0251,Zoe Brown,zoe.brown@company.com,988-861-1305,Worcester,MA,PLATINUM,3566.82,2024-08-16 14:03:14,true
