transaction_id,user_id,amount,email,category,payment_method,region,transaction_date,status,quantity,discount_pct,tax_amount,merchant_id,currency,batch
T00910,U737,790.1,user737@hotmail.com,Clothing,credit_card,US-East,2023-02-03,pending,3,21.0,76.15,M9755,INR,v2
T00606,U556,1915.85,user556@biz.net,Travel,paypal,APAC,2023-08-25,refunded,7,27.5,229.27,M5121,INR,v2
T00129,U107,2624.3,user107@company.io,Gaming,gift_card,LATAM,2023-06-18,failed,8,28.1,363.15,M9602,USD,v1
T00108,U465,1900.24,user465@datamail.co,Electronics,gift_card,EU-North,2024-06-26,completed,3,12.8,273.25,M6103,USD,v1
T00524,U541,54.41,user541@datamail.co,Travel,paypal,CA-East,2023-02-08,completed,4,11.7,3.98,M9391,USD,v2
T00044,U197,2475.28,user197@techfirm.org,Finance,paypal,EU-Central,2023-06-19,completed,8,20.9,412.78,M9727,USD,v1
T01170,U203,590.86,user203@corp.net,Electronics,paypal,CA-East,2024-02-21,pending,5,8.9,33.14,M7807,GBP,v2
T00765,U790,567.24,user790@company.io,Home & Garden,gift_card,LATAM,2024-02-23,failed,6,28.5,43.8,M6341,GBP,v2
T00416,U182,2634.16,user182@datamail.co,Subscriptions,credit_card,APAC,2024-03-15,completed,4,28.3,274.1,M4121,CAD,v1
T01032,U746,1564.14,user746@datamail.co,Travel,bank_transfer,APAC,2023-02-16,completed,8,9.1,269.65,M2225,GBP,v2
T00655,U119,30488.39,user119@gmail.com,Education,bank_transfer,MEA,2023-02-07,pending,3,3.8,635.44,M5907,CAD,v2
T01094,U221,4483.11,user221@biz.net,Education,paypal,APAC,2023-03-23,completed,2,8.2,741.08,M7028,USD,v2
T00537,U940,1777.08,user940@techfirm.org,Healthcare,debit_card,EU-North,2023-03-27,refunded,4,28.8,118.03,M3538,GBP,v2
T00443,U134,4409.2,user134@gmail.com,Electronics,credit_card,US-East,2024-09-13,failed,8,10.6,722.28,M1649,USD,v1
T00221,U449,3019.94,user449@biz.net,Clothing,bank_transfer,LATAM,2023-12-30,completed,3,14.2,404.41,M2259,INR,v1
T00788,U201,2357.71,user201@biz.net,Electronics,paypal,EU-Central,2023-06-09,pending,7,19.0,251.04,M7897,GBP,v2
T00199,U214,2979.8,user214@datamail.co,Gaming,gift_card,CA-East,2024-01-22,completed,4,28.1,411.14,M9203,USD,v1
T00926,U195,1378.04,user195@enterprise.com,Gaming,gift_card,EU-Central,2024-07-05,completed,5,2.7,229.68,M3730,USD,v2
T00377,U635,3854.78,user635@gmail.com,Home & Garden,bank_transfer,EU-North,2023-04-19,completed,10,17.8,413.55,M8656,CAD,v1
T00232,U523,1534.39,user523@yahoo.com,Education,credit_card,EU-North,2023-07-22,completed,1,0.3,270.93,M6162,USD,v1
T00535,U230,178.59,user230@corp.net,Finance,paypal,CA-East,2023-05-19,completed,5,0.1,24.54,M9100,USD,v2
T00680,U871,1761.28,user871@biz.net,Home & Garden,debit_card,EU-North,2024-03-21,completed,7,24.9,162.41,M8253,USD,v2
T00719,U732,1624.36,user732@company.io,Clothing,credit_card,CA-East,2024-02-27,failed,6,26.0,138.21,M9524,GBP,v2
T00309,U185,2953.63,user185@company.io,Groceries,credit_card,CA-East,2023-09-02,completed,5,26.3,297.25,M9719,USD,v1
T00102,U636,152.09,user636@company.io,Subscriptions,crypto,CA-East,2023-06-11,completed,1,3.9,10.45,M9071,USD,v1
T00600,U133,637.02,user133@outlook.com,Finance,crypto,EU-Central,2024-08-15,completed,2,7.7,69.72,M4349,INR,v2
T00079,U881,1579.87,user881@datamail.co,Travel,crypto,MEA,2023-06-03,PENDING,5,18.1,96.26,M6447,GBP,v1
T00619,U973,2675.97,user973@company.io,Electronics,credit_card,APAC,2024-07-26,completed,2,3.8,308.49,M6166,USD,v2
T00050,U997,4260.44,user997@gmail.com,Education,gift_card,MEA,2024-01-18,pending,5,2.5,766.82,M9705,INR,v1
T00940,U457,1616.76,user457@biz.net,Groceries,debit_card,EU-North,2024-07-11,completed,6,16.9,99.48,M3996,USD,v2
T00747,U332,4088.6,user332@hotmail.com,Healthcare,gift_card,MEA,2024-08-02,completed,7,27.2,624.66,M7517,USD,v2
T00244,U983,538.66,user983@company.io,Groceries,credit_card,EU-North,2024-03-04,refunded,1,12.1,80.67,M3983,EUR,v1
T00860,U351,1970.81,user351@outlook.com,Groceries,gift_card,US-West,2024-03-26,failed,9,8.6,181.28,M8210,USD,v2
T00932,U316,413.75,user316@corp.net,Subscriptions,bank_transfer,LATAM,2023-05-19,pending,10,21.5,50.21,M9571,CAD,v2
T01176,U298,1300.75,user298@hotmail.com,Groceries,debit_card,US-East,2023-02-12,failed,2,4.8,109.18,M1389,INR,v2
T01080,U247,3084.32,user247@outlook.com,Subscriptions,credit_card,APAC,2023-12-17,completed,9,26.1,334.21,M7153,USD,v2
T00771,U981,1937.88,user981@hotmail.com,Groceries,crypto,APAC,,refunded,4,27.4,332.48,M9243,EUR,v2
T00064,U480,1445.55,user480@gmail.com,Electronics,crypto,US-East,2023-02-16,completed,9,26.3,80.26,M8991,USD,v1
T00782,U677,2131.91,user677@biz.net,Finance,gift_card,EU-North,2023-02-16,completed,6,3.6,130.12,M7517,GBP,v2
T00045,U173,9.58,user173@company.io,Education,paypal,EU-Central,2024-06-21,completed,8,24.7,0.99,M8487,EUR,v1
T00351,U170,1903.59,user170@outlook.com,Finance,credit_card,US-West,2023-07-22,pending,7,19.9,247.07,M1027,CAD,v1
T00951,U699,3856.81,,Travel,debit_card,LATAM,2024-07-26,completed,9,10.7,443.31,M2070,INR,v2
T00486,U762,1347.28,user762@outlook.com,Clothing,bank_transfer,APAC,2024-01-23,completed,8,2.7,122.42,M4226,USD,v1
T00324,U939,2197.13,user939@datamail.co,Healthcare,crypto,LATAM,2023-10-09,completed,3,10.6,121.94,M7146,GBP,v1
T00255,U466,1199.82,user466@outlook.com,Groceries,bank_transfer,APAC,2023-10-25,completed,9,28.7,143.51,M6500,GBP,v1
T00567,U652,253.55,user652@company.io,Electronics,bank_transfer,US-East,2023-11-25,failed,8,10.7,27.68,M2035,GBP,v2
T00922,U780,1256.27,user780@outlook.com,Home & Garden,crypto,LATAM,2024-06-27,completed,5,3.9,105.47,M4019,USD,v2
T00278,U463,3758.37,user463@company.io,Home & Garden,credit_card,US-East,2023-01-20,completed,4,16.7,313.8,M6011,EUR,v1
T00124,U511,3530.09,user511@datamail.co,Subscriptions,crypto,EU-North,2023-08-17,failed,7,22.1,288.53,M3586,USD,v1
T00077,U114,2292.9,user114@hotmail.com,Electronics,gift_card,CA-East,2024-03-11,pending,9,27.2,247.97,M7361,USD,v1
T00219,U187,2849.31,user187@techfirm.org,Subscriptions,bank_transfer,EU-Central,2024-08-05,failed,4,15.7,511.6,M4851,USD,v1
T00495,U824,504.9,user824@company.io,Groceries,gift_card,US-East,2024-08-18,completed,6,17.2,61.06,M3998,USD,v1
T01101,,3556.66,user794@company.io,Gaming,credit_card,LATAM,2023-07-15,refunded,2,0.8,362.36,M4315,USD,v2
T01145,U427,4414.98,user427@techfirm.org,Healthcare,debit_card,APAC,2023-05-18,COMPLETED,3,16.5,598.47,M8620,CAD,v2
T00399,U462,474.01,user462@enterprise.com,Finance,paypal,US-East,2024-05-29,completed,3,15.9,61.67,M6844,INR,v1
T00582,U481,497.64,user481@outlook.com,Healthcare,gift_card,LATAM,2023-07-26,failed,2,8.9,72.83,M9956,INR,v2
T00297,U289,2336.75,user289@biz.net,Home & Garden,gift_card,EU-North,2024-03-04,completed,7,5.9,185.31,M4828,CAD,v1
T00366,U639,246.98,user639@enterprise.com,Education,paypal,CA-East,2024-06-28,failed,4,6.5,33.62,M7215,USD,v1
T00815,U420,1314.23,user420@outlook.com,Groceries,paypal,LATAM,2024-02-20,completed,5,19.9,72.42,M7940,USD,v2
T00429,U309,236.82,user309@biz.net,Gaming,credit_card,US-East,2023-08-04,completed,10,19.7,25.34,M4963,USD,v1
T00267,U423,452.75,user423@techfirm.org,Clothing,crypto,APAC,2024-05-29,completed,10,28.8,32.77,M5516,USD,v1
T00498,U917,-89.82,user917@yahoo.com,Gaming,debit_card,APAC,2023-05-24,completed,9,23.1,191.83,M1594,USD,v1
T00962,U762,4370.66,user762@outlook.com,Electronics,crypto,APAC,2023-12-15,completed,1,8.9,259.32,M7341,GBP,v2
T01000,U907,-89.82,user907@enterprise.com,Education,credit_card,LATAM,2024-06-26,completed,6,4.0,108.15,M8611,EUR,v2
T01082,U709,3815.75,user709@corp.net,Finance,crypto,APAC,2024-05-09,completed,8,21.7,325.49,M4331,USD,v2
T00234,U333,2414.96,user333@yahoo.com,Gaming,paypal,US-West,2023-03-03,failed,5,8.1,199.14,M5947,CAD,v1
T00071,U887,3860.55,user887@enterprise.com,Education,paypal,EU-Central,2024-09-26,completed,10,23.8,420.18,M8381,CAD,v1
T00549,U755,13.82,user755@datamail.co,Subscriptions,crypto,EU-North,2023-07-28,completed,10,17.6,2.08,M9082,INR,v2
T00024,U277,4342.03,user277@company.io,Finance,bank_transfer,MEA,2024-06-17,pending,10,12.7,442.92,M2674,INR,v1
T00156,U170,168.64,user170@biz.net,Education,gift_card,LATAM,2024-05-05,completed,10,25.1,20.83,M1864,USD,v1
T00948,U835,74.44,user835@gmail.com,Clothing,credit_card,MEA,2023-05-06,pending,7,8.0,4.42,M5249,USD,v2
T00059,U171,502.22,user171@corp.net,Finance,credit_card,APAC,2023-09-15,completed,8,9.5,70.79,M8443,EUR,v1
T00431,U819,4473.79,user819@datamail.co,Electronics,gift_card,LATAM,2023-10-15,failed,2,0.6,358.96,M7421,USD,v1
T00971,U959,4232.82,user959@yahoo.com,Groceries,credit_card,EU-Central,2023-11-12,completed,6,9.4,502.09,M5895,EUR,v2
T00644,U164,984.17,user164@corp.net,Education,gift_card,CA-East,2023-07-30,completed,8,4.6,164.89,M5526,USD,v2
T00345,U216,619.36,user216@hotmail.com,Groceries,credit_card,CA-East,2024-02-20,failed,4,0.6,43.12,M3883,USD,v1
T00632,U894,1091.24,user894@outlook.com,Gaming,paypal,LATAM,2023-06-12,failed,6,27.2,100.97,M9604,CAD,v2
T00082,U430,3927.18,user430@techfirm.org,Groceries,gift_card,EU-North,2023-01-20,pending,3,7.2,482.91,M5152,USD,v1
T00378,U558,3955.43,user558@outlook.com,Travel,debit_card,EU-Central,2023-04-26,pending,8,30.0,356.06,M8817,GBP,v1
T01040,U206,3704.18,user206@biz.net,Travel,paypal,LATAM,2024-03-17,completed,3,8.6,572.64,M8548,CAD,v2
T00671,,536.48,user877@corp.net,Home & Garden,bank_transfer,US-West,2024-01-20,Refunded,3,14.0,86.97,M3314,CAD,v2
T00310,U610,281.96,user610@hotmail.com,Healthcare,crypto,EU-Central,2023-04-28,refunded,10,13.6,25.82,M8393,INR,v1
T00554,U329,678.7,user329@corp.net,Groceries,credit_card,LATAM,2024-02-01,completed,6,15.1,40.88,M7169,USD,v2
T00885,U960,2629.23,user960@hotmail.com,Education,credit_card,EU-Central,2023-06-16,completed,7,8.3,460.69,M5323,INR,v2
T00197,U988,2754.38,user988@corp.net,Electronics,gift_card,EU-Central,2023-11-16,refunded,3,7.1,487.29,M9985,INR,v1
T00343,U946,3151.67,user946@techfirm.org,Clothing,gift_card,MEA,2024-01-11,refunded,3,16.5,174.19,M6050,GBP,v1
T00894,U412,1692.39,user412@biz.net,Finance,debit_card,EU-North,2024-03-19,failed,8,0.3,208.47,M7380,USD,v2
T00171,U440,3164.21,user440@gmail.com,Subscriptions,bank_transfer,CA-East,2024-07-17,completed,8,17.1,286.38,M9600,USD,v1
T00241,U518,3382.77,user518@company.io,Finance,debit_card,EU-Central,2023-11-12,pending,2,6.0,478.59,M6287,GBP,v1
T00052,U510,3419.77,user510@techfirm.org,Finance,credit_card,MEA,2024-08-14,completed,7,5.7,437.39,M1893,USD,v1
T00480,U487,3573.79,user487@yahoo.com,Healthcare,bank_transfer,LATAM,2023-11-06,completed,10,0.8,574.32,M7795,USD,v1
T00666,U754,770.49,user754@gmail.com,Education,paypal,LATAM,2023-03-28,completed,2,7.0,102.54,M2282,EUR,v2
T00819,U951,4432.97,user951@techfirm.org,Clothing,debit_card,EU-North,2024-08-06,pending,7,16.1,361.24,M5819,USD,v2
T01149,U247,339.37,user247@yahoo.com,Travel,bank_transfer,US-East,2023-10-15,completed,1,22.8,38.93,M9488,EUR,v2
T00440,U943,1829.6,user943@corp.net,Groceries,debit_card,US-East,2023-01-27,completed,9,23.4,148.54,M3097,USD,v1
T01198,U803,1361.99,user803@yahoo.com,Clothing,debit_card,LATAM,2024-01-08,refunded,5,12.1,187.94,M1140,EUR,v2
T01129,U775,1889.93,user775@datamail.co,Finance,paypal,LATAM,2024-08-25,completed,3,2.2,253.5,M6407,GBP,v2
T00381,U976,1289.08,user976@biz.net,Healthcare,crypto,APAC,2024-08-21,refunded,2,1.5,91.13,M3944,INR,v1
T01106,U176,3438.25,user176@outlook.com,Gaming,bank_transfer,MEA,2023-01-23,completed,7,17.8,546.35,M3401,CAD,v2
T00055,U882,3630.63,user882@techfirm.org,Finance,gift_card,MEA,2023-05-19,refunded,4,17.7,585.03,M3120,EUR,v1
T01011,U348,1580.85,user348@enterprise.com,Finance,credit_card,EU-North,2023-06-11,pending,5,13.5,215.21,M4316,EUR,v2
T01002,U186,0.0,user186@outlook.com,Clothing,gift_card,CA-East,2023-03-23,completed,7,9.0,390.73,M8808,EUR,v2
T00783,U136,1073.6,user136@enterprise.com,Groceries,paypal,US-East,2024-07-22,completed,1,2.5,74.67,M6561,USD,v2
T00057,U583,2331.16,user583@datamail.co,Gaming,credit_card,US-East,32-01-2024,completed,3,14.3,121.58,M2607,INR,v1
T00087,U549,2722.59,user549@gmail.com,Clothing,credit_card,EU-Central,2023-03-17,completed,6,19.4,449.36,M3124,GBP,v1
T00661,U237,4161.58,user237@company.io,Gaming,gift_card,EU-Central,2024-04-19,failed,8,11.8,307.54,M1002,USD,v2
T00711,U503,3609.46,,Electronics,crypto,LATAM,2023-03-15,completed,10,17.8,586.9,M2253,USD,v2
T00110,U679,641.28,user679@datamail.co,Healthcare,paypal,US-West,2023-04-21,refunded,6,17.0,107.6,M3189,INR,v1
T00616,U113,3714.8,user113@yahoo.com,Healthcare,crypto,US-East,2023-12-07,completed,7,1.9,302.58,M9876,USD,v2
T00372,U471,581.29,user471@datamail.co,Groceries,credit_card,EU-North,2023-12-25,failed,5,7.5,36.78,M1038,USD,v1
T01012,U628,1743.9,user628@hotmail.com,Home & Garden,debit_card,CA-East,2023-03-08,completed,9,24.6,266.21,M9375,EUR,v2
T01046,U767,1817.67,user767@gmail.com,Home & Garden,debit_card,US-East,2023-02-20,completed,6,13.4,182.05,M7807,CAD,v2
T00462,U851,745.8,user851@company.io,Education,crypto,MEA,2023-08-24,completed,6,27.5,75.42,M6719,USD,v1
T00877,U168,1851.23,user168@company.io,Travel,gift_card,US-West,2023-03-29,completed,7,7.8,103.23,M5702,USD,v2
T00248,U891,1186.25,user891@hotmail.com,Education,gift_card,US-East,2023-07-21,failed,3,12.4,153.71,M7359,INR,v1
T00652,U138,2171.18,user138@outlook.com,Gaming,credit_card,US-East,2023-12-24,refunded,9,10.8,147.26,M2182,GBP,v2
T00436,U401,-89.82,user401@hotmail.com,Clothing,crypto,LATAM,2023-08-02,failed,8,8.0,191.62,M1898,USD,v1
T00266,U319,2753.97,user319@gmail.com,Finance,crypto,CA-East,2024-04-02,refunded,8,17.7,363.8,M4951,USD,v1
T00542,U815,3179.77,user815@gmail.com,Subscriptions,debit_card,EU-North,2024-07-24,completed,5,8.0,432.48,M4397,INR,v2
T00430,U658,1118.14,user658@biz.net,Clothing,crypto,US-West,2023-10-25,completed,8,18.0,111.09,M8085,GBP,v1
T00931,U642,1257.4,user642@outlook.com,Healthcare,bank_transfer,LATAM,2023-06-12,refunded,9,1.3,179.74,M4970,INR,v2
T01090,U794,3771.06,user794@biz.net,Electronics,debit_card,US-East,2024-06-23,completed,3,3.7,587.12,M6217,USD,v2
T00391,U459,1860.77,user459@gmail.com,Clothing,credit_card,APAC,2023-12-21,completed,4,5.6,198.94,M2546,INR,v1
T00428,U956,3631.19,user956@gmail.com,Healthcare,bank_transfer,US-East,2024-08-06,pending,10,3.7,295.39,M5352,USD,v1
T00715,U167,970.12,user167@yahoo.com,Home & Garden,bank_transfer,US-East,2024-02-22,failed,8,29.8,135.9,M9458,INR,v2
T00842,U749,134.61,user749@enterprise.com,Gaming,debit_card,US-West,2024-06-28,refunded,1,13.4,21.6,M6944,USD,v2
T00299,U800,404.05,user800@gmail.com,Electronics,gift_card,US-West,2023-01-27,failed,8,25.1,66.2,M3326,GBP,v1
T01158,U581,2218.1,user581@gmail.com,Gaming,paypal,EU-Central,2024-03-28,pending,5,23.8,297.05,M7004,USD,v2
T00781,U451,-89.82,user451@datamail.co,Gaming,debit_card,US-East,2024-06-30,completed,3,28.9,263.21,M8234,INR,v2
T01001,U407,749.26,user407@gmail.com,Travel,bank_transfer,US-East,2024-07-04,completed,3,21.0,37.59,M6122,USD,v2
T00590,U558,2586.45,user558@company.io,Groceries,debit_card,US-East,2023-04-04,completed,7,1.2,169.9,M3280,GBP,v2
T01190,U320,2994.33,user320@yahoo.com,Electronics,gift_card,US-East,2023-03-07,completed,1,22.1,173.4,M2090,USD,v2
T00979,U749,2871.87,user749@outlook.com,Groceries,paypal,LATAM,2024-01-19,pending,1,24.8,408.27,M2522,INR,v2
T00546,U512,30488.39,user512@hotmail.com,Clothing,gift_card,EU-North,2023-11-22,pending,5,14.6,229.93,M2679,CAD,v2
T00452,U259,0.0,user259@hotmail.com,Healthcare,paypal,US-West,2023-09-04,completed,2,4.5,185.6,M2108,GBP,v1
T00406,U717,3498.51,user717@outlook.com,Education,debit_card,US-East,2023-12-17,completed,7,28.3,396.5,M5055,CAD,v1
T00421,U619,4265.82,user619@gmail.com,Travel,debit_card,APAC,2023-10-05,completed,1,7.2,688.06,M6162,GBP,v1
T00992,U851,2136.48,user851@gmail.com,Education,bank_transfer,US-East,2024-04-10,completed,9,13.4,315.81,M5246,USD,v2
T00944,U443,3544.7,user443@yahoo.com,Travel,crypto,US-West,2023-03-10,failed,5,21.3,440.28,,USD,v2
T00989,U412,182.32,user412@techfirm.org,Groceries,debit_card,LATAM,2024-09-13,completed,5,4.3,32.53,M6810,USD,v2
T00222,U811,3471.08,user811@hotmail.com,Groceries,credit_card,EU-Central,,pending,10,1.5,273.41,M6094,USD,v1
T00193,U382,1173.09,user382@datamail.co,Electronics,paypal,EU-Central,2024-09-24,failed,3,14.1,98.36,M8675,INR,v1
T00848,U953,4451.62,user953@outlook.com,Travel,credit_card,EU-North,2023-03-31,completed,1,14.0,477.95,M9502,USD,v2
T00694,U119,2188.78,user119@biz.net,Gaming,debit_card,EU-North,2024-07-30,completed,9,11.7,220.66,M8369,EUR,v2
T00011,U653,1246.77,user653@datamail.co,Travel,credit_card,CA-East,2023-03-14,COMPLETED,1,22.1,63.77,M2790,GBP,v1
T00148,U985,1954.22,user985@company.io,Electronics,crypto,CA-East,2023-02-02,completed,5,29.5,290.51,M3291,EUR,v1
T00520,U676,401.41,user676@corp.net,Travel,gift_card,US-East,2023-08-18,refunded,4,22.8,60.97,M4545,USD,v2
T00978,U968,-89.82,user968@gmail.com,Travel,bank_transfer,EU-Central,2023-03-31,completed,4,18.4,455.74,,EUR,v2
T00463,U710,3272.2,user710@corp.net,Education,bank_transfer,APAC,,completed,5,13.9,285.17,M8738,EUR,v1
T00746,U277,529.25,user277@enterprise.com,Education,paypal,US-West,2023-12-30,refunded,10,12.9,39.37,M4792,EUR,v2
T00873,U771,2587.65,user771@hotmail.com,Education,credit_card,EU-North,2024-08-05,completed,1,22.0,319.68,M8546,EUR,v2
T00210,U182,1852.82,user182@company.io,Groceries,crypto,MEA,2023-11-30,failed,1,2.8,103.43,M3988,EUR,v1
T00737,U684,3682.52,user684@outlook.com,Finance,gift_card,LATAM,2023-11-26,refunded,9,23.2,569.78,M4095,USD,v2
T00849,U188,711.6,user188@enterprise.com,Electronics,bank_transfer,EU-Central,2024-02-23,completed,6,17.8,121.79,M9587,USD,v2
T00466,U950,2885.47,user950@company.io,Education,credit_card,MEA,2023-03-07,completed,8,4.6,285.21,M7398,USD,v1
T00276,U633,3031.84,user633@company.io,Healthcare,paypal,EU-North,2024-02-21,failed,3,22.1,326.83,M3168,USD,v1
T00754,U888,425.12,,Clothing,gift_card,APAC,2023-07-22,FAILED,5,5.6,23.15,M2941,INR,v2
T00967,U371,361.69,user371@outlook.com,Healthcare,crypto,LATAM,2023-06-10,completed,4,29.5,51.74,M7729,USD,v2
T00353,U151,515.29,user151@biz.net,Travel,debit_card,MEA,2024-07-11,pending,6,24.8,79.3,,CAD,v1
T00618,U315,1185.69,user315@hotmail.com,Travel,paypal,US-West,2024-08-29,refunded,9,15.0,85.4,M9477,USD,v2
T00807,,2342.86,user251@enterprise.com,Finance,gift_card,EU-Central,2023-07-04,refunded,8,18.3,324.93,M9634,CAD,v2
T00313,U746,2079.51,user746@outlook.com,Finance,paypal,LATAM,2023-01-16,completed,2,16.7,222.61,M5020,INR,v1
T00136,U587,1017.13,user587@yahoo.com,Electronics,bank_transfer,EU-Central,2024-01-15,completed,2,16.3,171.38,M2763,USD,v1
T00209,U880,3226.28,user880@biz.net,Electronics,gift_card,US-West,2023-01-26,completed,10,4.7,488.1,M4429,INR,v1
T00845,U314,3791.63,user314@gmail.com,Gaming,crypto,US-West,2024-03-25,completed,7,24.1,251.17,M1885,INR,v2
T00494,U334,4346.92,user334@techfirm.org,Electronics,credit_card,EU-North,2023-05-14,Pending,1,29.2,496.15,M4408,USD,v1
T00599,U615,3833.91,user615@gmail.com,Finance,debit_card,CA-East,2024-04-21,failed,3,10.3,628.01,M5761,GBP,v2
T01133,U923,0.0,user923@yahoo.com,Electronics,paypal,EU-Central,2024-08-20,completed,6,28.6,78.68,M6162,EUR,v2
T00291,U579,3476.82,user579@gmail.com,Electronics,bank_transfer,EU-Central,2023-03-07,failed,1,23.4,614.14,M2937,EUR,v1
T00159,U716,1546.8,user716@biz.net,Home & Garden,paypal,EU-Central,2023-07-25,completed,6,5.3,191.61,M3574,EUR,v1
T00141,U681,3053.41,user681@datamail.co,Education,bank_transfer,LATAM,2023-06-25,refunded,1,20.5,490.87,M8409,INR,v1
T01033,U682,2423.87,user682@company.io,Travel,paypal,CA-East,2023-03-05,completed,6,9.2,295.12,M5743,CAD,v2
T00298,U366,2729.22,user366@techfirm.org,Education,gift_card,APAC,2024-09-25,refunded,5,28.9,271.39,M2778,USD,v1
T00662,U144,1230.03,user144@gmail.com,Education,gift_card,US-West,,completed,4,29.4,129.53,M8078,GBP,v2
T00972,U965,877.74,user965@yahoo.com,Clothing,bank_transfer,EU-Central,2024-02-10,completed,10,2.0,88.86,M9349,USD,v2
T01073,U275,2203.63,user275@hotmail.com,Gaming,credit_card,US-East,2023-10-17,failed,7,14.0,372.74,M2125,EUR,v2
T00768,U363,2482.17,user363@hotmail.com,Healthcare,paypal,US-West,2024-09-10,completed,9,1.8,397.66,M2906,INR,v2
T00713,U557,3090.43,user557@biz.net,Home & Garden,gift_card,MEA,2023-12-08,completed,3,2.1,175.4,M4452,USD,v2
T01025,U500,3453.65,user500@gmail.com,Education,paypal,EU-Central,2024-04-07,completed,8,0.3,238.09,,EUR,v2
T00622,U632,1371.38,user632@yahoo.com,Groceries,crypto,CA-East,2024-05-11,completed,3,4.8,118.08,M6845,USD,v2
T01137,U625,3497.33,user625@company.io,Travel,bank_transfer,US-West,2024-01-31,completed,10,24.5,233.33,M8811,USD,v2
T01166,U827,1322.35,user827@gmail.com,Finance,gift_card,EU-North,2023-02-06,failed,10,11.4,209.18,M8402,USD,v2
T00623,U226,-89.82,user226@corp.net,Subscriptions,bank_transfer,US-West,2024-02-03,completed,8,13.7,166.06,M3756,GBP,v2
T00211,U215,3984.06,user215@gmail.com,Education,credit_card,EU-North,2023-03-12,failed,4,9.2,347.1,M9349,INR,v1
T00583,U634,3912.68,user634@yahoo.com,Travel,debit_card,APAC,2023-01-26,completed,6,20.1,443.74,M9984,USD,v2
T00185,U616,576.86,user616@datamail.co,Gaming,credit_card,EU-North,2024-04-28,pending,6,7.4,64.03,M2670,EUR,v1
T00271,U499,4061.01,user499@datamail.co,Electronics,credit_card,CA-East,2023-05-24,refunded,5,7.4,308.03,M8291,CAD,v1
T00260,U420,1247.7,user420@yahoo.com,Clothing,credit_card,US-East,2023-11-30,failed,3,2.0,95.32,M6726,USD,v1
T00164,U204,133.49,user204@outlook.com,Groceries,debit_card,US-East,2024-04-30,pending,9,22.0,11.91,M8916,GBP,v1
T00893,U572,1095.56,user572@biz.net,Gaming,paypal,EU-Central,2024-07-09,pending,3,25.6,77.21,M9336,GBP,v2
